"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"12","A5P",18,0,"Bouteloua eriopoda",1.32807970395771,9.60009310836214,99.0330366130434,1,1,0,25,0.302027496845625,1
"23","A5P",18,11,"Bouteloua eriopoda",1.01883097820336,71.9977677922506,64.0911082789283,1,0,0,26,27.3300898631452,0
"24","A5P",19,0,"Bouteloua eriopoda",1.26979475007546,9.30439862569101,99.5564662831017,2,1,0,25,-0.0398478889363787,1
"25","A5P",19,1,"Bouteloua eriopoda",1.21917126732177,11.0551453384891,90.418449883066,1,0,0,27,8.96314227655562,0
"26","A5P",19,2,"Bouteloua eriopoda",0.51619262399781,7.73781572479962,71.6863346940515,1,0,0,28,7.26789749981977,0
"27","A5P",19,3,"Bouteloua eriopoda",0.44669204164498,11.9859552173381,74.0699466394113,1,0,0,29,11.5729778573115,0
"28","A5P",19,4,"Bouteloua eriopoda",0.37538118631105,37.7974300456181,39.2579082155373,1,0,0,30,37.4034635616727,0
"29","A5P",19,5,"Bouteloua eriopoda",0.33447545042612,46.7311383687416,29.5476611689228,1,0,0,31,29.2589474746163,0
"30","A5P",19,6,"Bouteloua eriopoda",0.25483835575931,49.2234783164232,16.8396452159299,1,0,0,32,16.5589586403103,0
"31","A5P",19,7,"Bouteloua eriopoda",0.30986092633637,50.4824932695561,15.6436262867324,1,0,0,33,15.3750617644632,0
"32","A5P",19,8,"Bouteloua eriopoda",0.26062999862751,40.8845994670605,6.91478074964716,1,0,0,34,6.54964614175245,0
"41","A5P",19,17,"Bouteloua eriopoda",4.9172261862757,60.0520582325712,36.6283931531831,1,1,0,35,35.3936880963579,0
"43","A5P",19,19,"Bouteloua eriopoda",1.48704113677996,36.8040918007986,58.5363097105333,1,0,0,36,36.0581256162618,0
"44","A5P",19,20,"Bouteloua eriopoda",1.34369528818697,46.237790037587,68.0283543867998,1,0,0,37,31.3495619152181,0
"45","A5P",19,21,"Bouteloua eriopoda",0.72831710182199,37.8020542326005,70.157072968976,1,0,0,38,29.3584628060361,0
"46","A5P",19,22,"Bouteloua eriopoda",0.58207442618744,89.9494556480848,66.4086986089956,1,0,0,39,9.64404270206259,0
"47","A5P",19,23,"Bouteloua eriopoda",0.56325125764915,84.9102336610077,73.2210581811263,1,0,0,40,14.5948846682518,0
"48","A5P",19,33,"Bouteloua eriopoda",0.56180393952266,7.55541085771344,74.0681264723245,1,0,0,41,6.99882919885548,0
"50","A5P",19,74,"Bouteloua eriopoda",0.25048851966858,10.882568359375,88.5986328125,1,0,0,42,10.63232421875,0
"51","A5P",20,0,"Bouteloua eriopoda",6.04770886301314,12.8003892364368,98.952053254739,3,0,0,25,-0.019774026690726,1
"53","A5P",20,2,"Bouteloua eriopoda",4.10218804543515,61.0748682929871,35.6163655798447,2,1,0,35,34.5807969135649,0
"54","A5P",20,3,"Bouteloua eriopoda",3.43518004632635,60.1714265066016,11.1247890859946,1,0,0,43,9.99428648577173,0
"64","A5P",21,1,"Bouteloua eriopoda",5.12204869003426,24.9071969379875,46.3884522606696,1,0,0,44,23.3866687095079,0
"72","A5P",21,9,"Bouteloua eriopoda",5.21964839336714,60.7097415182937,37.6951434862861,3,1,0,35,36.2519958978297,0
"77","A5P",22,2,"Bouteloua eriopoda",12.8315012444289,62.2547242060998,36.1253553540851,4,1,0,35,33.8481704482194,0
"94","A5P",22,20,"Bouteloua eriopoda",5.74226782038633,0.86790131859974,88.5376045584812,1,0,0,45,-0.0467388154558795,1
"97","A5P",22,52,"Bouteloua eriopoda",0.24743378162384,94.659423828125,27.9998779296875,1,1,0,46,5.09033203125,0
"110","A5P",23,12,"Bouteloua eriopoda",0.68371665294616,96.0118641001814,31.5860833203978,2,0,0,46,3.36635023681707,1
"112","A5P",23,14,"Bouteloua eriopoda",10.7201616093037,61.6580900557038,38.499796986102,5,1,0,35,35.8501021475295,0
"120","A5P",24,49,"Bouteloua eriopoda",11.8635306880699,60.0997724715643,37.4507783221601,6,1,0,35,35.1214532335454,0
"137","A5P",25,52,"Bouteloua eriopoda",0.578525304950385,56.4767701011138,37.0523725587431,7,0,0,35,36.5638377762985,0
"138","A5P",25,53,"Bouteloua eriopoda",3.24031924256701,57.661943838888,39.3502799761829,7,1,0,35,38.2827514307323,0
"142","A5P",25,60,"Bouteloua eriopoda",0.250488519668579,60.638427734375,38.28125,7,0,0,35,38.031005859375,0
"147","A5P",27,4,"Bouteloua eriopoda",34.5057806382738,59.4781118726622,38.8346722075252,9,1,1,35,34.4643187002503,0
"152","A5P",28,34,"Bouteloua eriopoda",14.9485367145855,59.3267967528635,40.0242122052294,10,1,0,35,37.7280889691547,0
"157","A5P",29,10,"Bouteloua eriopoda",4.43365361049558,57.8425148894792,39.4054097324293,11,0,0,35,37.8763620888897,0
"158","A5P",29,11,"Bouteloua eriopoda",5.33827248788369,62.3972528258054,39.9746775029803,11,1,0,35,36.6415014833934,0
"161","A5P",30,29,"Bouteloua eriopoda",9.92228547366579,57.0130623816199,38.9142881916341,12,1,0,35,37.0841357877001,0
"162","A5P",30,30,"Bouteloua eriopoda",6.89381444107991,61.3261788247043,40.1296732478671,12,0,0,35,37.0103747661612,0
"165","A5P",31,14,"Bouteloua eriopoda",9.26106979900358,41.3223944412318,4.34853027496322,1,1,0,48,2.20459715052632,0
"169","A5P",31,18,"Bouteloua eriopoda",17.2233895251812,56.4069264682414,39.854729142476,13,1,0,35,36.9382667037971,0
"170","A5P",31,19,"Bouteloua eriopoda",11.4249202531827,61.0019606115829,40.8943735758216,13,0,0,35,37.2660709445284,0
"173","A5P",32,14,"Bouteloua eriopoda",4.34512664352136,30.5181894340403,19.2311958572752,1,0,0,49,17.9888201909219,0
"174","A5P",32,15,"Bouteloua eriopoda",9.69712621677741,41.6997222298942,3.76521150430364,2,0,0,48,1.51160401906451,0
"176","A5P",32,17,"Bouteloua eriopoda",45.1413916181846,57.4902853489115,40.589015464652,14,0,0,35,36.6009570144056,0
"302","B1P",16,17,"Bouteloua eriopoda",0.91393442553291,41.9191045498179,12.9941300840919,1,0,0,46,12.4695249912329,0
"322","B1P",17,28,"Bouteloua eriopoda",2.55892193994838,94.8241325865347,24.5500056854264,1,0,0,47,4.29002466610581,0
"352","B1P",18,53,"Bouteloua eriopoda",0.25048851966858,5.5419921875,97.18017578125,1,0,0,48,2.569580078125,1
"353","B1P",18,54,"Bouteloua eriopoda",0.25048851966858,4.60205078125,97.418212890625,1,0,0,49,2.33154296875,1
"440","B5P",18,19,"Bouteloua eriopoda",0.83981134635617,59.9847259864276,49.7700609048964,1,1,0,29,39.4246303231515,0
"448","B5P",18,27,"Bouteloua eriopoda",1.68111806100404,65.2432599612186,89.4551245839776,1,1,0,30,9.86532120522369,0
"449","B5P",18,28,"Bouteloua eriopoda",2.04456222674692,71.1274247469946,89.6411525284776,1,0,0,31,9.55593145668968,0
"451","B5P",19,13,"Bouteloua eriopoda",1.27445651463029,61.7673969533013,89.4557231887458,2,1,0,30,9.91770820692182,0
"479","B5P",20,29,"Bouteloua eriopoda",2.57954348388548,60.8939184993551,87.939300839815,3,0,0,30,10.9259896226886,0
"488","B5P",21,17,"Bouteloua eriopoda",3.03490501322249,61.4871531994957,52.2609572738978,4,0,2,29,37.3584493858669,0
"500","B5P",22,6,"Bouteloua eriopoda",1.72141606112656,33.7454565366683,78.0606278238871,1,0,0,32,21.0312730793012,0
"516","B5P",22,66,"Bouteloua eriopoda",0.25048851966858,59.222412109375,65.081787109375,1,0,0,33,34.66796875,0
"606","BW1",23,81,"Bouteloua eriopoda",0.25048851966858,21.258544921875,78.82080078125,1,0,0,69,20.928955078125,0
