"","X","quad","year","NRquad","totParea","recArea","Group"
"1",1,"A5P",18,16,2.34691068216107,6.81747291092772,"A"
"2",2,"A5P",19,1,15.4209344565928,0.0648469133186981,"A"
"3",3,"A5P",20,1,13.5850769547746,0.0736101829477335,"A"
"4",4,"A5P",21,2,10.3416970834014,0.193391856662485,"A"
"5",5,"A5P",22,0,18.8212028464391,0,"A"
"6",6,"A5P",23,0,11.4038782622499,0,"A"
"7",7,"A5P",24,0,11.8635306880699,0,"A"
"8",8,"A5P",27,0,34.5057806382738,0,"A"
"9",9,"A5P",28,0,14.9485367145855,0,"A"
"10",10,"A5P",29,0,9.77192609837927,0,"A"
"11",11,"A5P",30,1,16.8160999147457,0.059466820788994,"A"
"12",12,"A5P",31,1,37.9093795773675,0.0263786960153,"A"
"13",13,"B1P",16,1,0.91393442553291,1.09417040442142,"B"
"14",14,"B1P",17,2,2.55892193994838,0.781579136423499,"B"
"15",15,"B5P",18,0,4.56549163410713,0,"B"
"16",16,"B5P",19,0,1.27445651463029,0,"B"
"17",17,"B5P",20,0,2.57954348388548,0,"B"
"18",18,"B5P",21,2,3.03490501322249,0.658999207977314,"B"
"19",19,"B5P",22,0,1.97190458079514,0,"B"
"20",20,"BW1",23,0,0.748410820961,0,"B"
"21",21,"BW1",28,1,3.52961701376277,0.283316857353298,"B"
"22",22,"BW1",29,1,3.54347833138848,0.28220858334081,"B"
"23",23,"BW1",30,0,4.72214329871719,0,"B"
"24",24,"BW1",31,0,27.3543731453403,0,"B"
"25",25,"BW1",32,0,12.2777359356994,0,"B"
"26",26,"BW2",29,1,0.24743378162384,4.04148533574225,"B"
"27",27,"BW2",30,1,10.8478578576402,0.0921840987523352,"B"
"28",28,"BW2",31,0,3.85074817288396,0,"B"
"29",29,"BW3",23,1,1.75899327920418,0.568507004445423,"B"
"30",30,"BW3",27,0,3.26214163043814,0,"B"
"31",31,"BW3",28,0,7.01886176642561,0,"B"
"32",32,"BW3",29,1,19.5215605724401,0.0512254128602693,"B"
"33",33,"BW3",30,0,12.6056756497403,0,"B"
"34",34,"BW3",31,2,24.5212248070289,0.0815619943840124,"B"
"35",35,"BW3",32,0,35.8919102443104,0,"B"
"36",36,"C2RP",22,0,4.94903386647445,0,"C"
"37",37,"C2RP",24,0,1.87726095644774,0,"C"
"38",38,"C2RP",25,0,3.38039244574316,0,"C"
"39",39,"C2RP",26,0,4.61279818005262,0,"C"
"40",40,"D4P",22,0,1.23618690875835,0,"D"
"41",41,"E3P",16,0,0.79780382434278,0,"E"
"42",42,"E3P",17,0,2.54260909127269,0,"E"
"43",43,"E3P",24,0,2.11724735512051,0,"E"
"44",44,"E3P",28,0,2.63411156758137,0,"E"
"45",45,"FH22",26,4,7.60660253204065,0.525858947296265,"F"
"46",46,"FH22",27,0,84.3748739622243,0,"F"
"47",47,"FH22",28,0,26.5168592060218,0,"F"
"48",48,"FH22",29,0,7.3018923561603,0,"F"
"49",49,"FH22",30,0,18.1719590217969,0,"F"
"50",50,"FH22",32,0,0.25048851966858,0,"F"
"51",51,"FH24",26,0,9.90386941107188,0,"F"
"52",52,"FH24",31,5,0.75757503509522,6.60000629425645,"F"
"53",53,"FH24",32,2,17.7952406369756,0.11238960128723,"F"
"54",54,"FH24",33,0,43.505372386118,0,"F"
"55",55,"FH24",34,2,9.34687678951719,0.213975218143783,"F"
"56",56,"FH26",26,1,2.89830876788123,0.345028801307128,"F"
"57",57,"FH26",27,0,32.7193107580151,0,"F"
"58",58,"FH26",32,2,17.3845513752153,0.115044671377103,"F"
"59",59,"FH26",33,0,41.9460893505034,0,"F"
"60",60,"FH26",34,5,3.9242798886801,1.27411911021507,"F"
"61",61,"FH28",29,1,3.78397826541051,0.264272131037601,"F"
"62",62,"FH28",30,0,2.93787695116493,0,"F"
"63",63,"FH28",31,4,3.71004021564037,1.07815542891887,"F"
"64",64,"FH28",32,1,21.5981776828596,0.0463002024839162,"F"
"65",65,"FH28",33,0,21.312707410607,0,"F"
"66",66,"FH28",34,0,5.12840551541221,0,"F"
"67",67,"M1",32,3,9.5210034745066,0.315092837433868,"M"
"68",68,"M1",33,3,11.4371142600501,0.262303928402554,"M"
"69",69,"M1",34,0,9.38863628322001,0,"M"
"70",70,"M1P",22,0,5.22381795091041,0,"M"
"71",71,"M1P",23,0,3.95439369358966,0,"M"
"72",72,"M3",33,0,3.11810609232794,0,"M"
"73",73,"M4",26,0,4.65856612589025,0,"M"
"74",74,"M4",27,0,13.2721772151373,0,"M"
"75",75,"M4",28,0,11.5058244870633,0,"M"
"76",76,"M4",29,0,17.800681063706,0,"M"
"77",77,"M4",30,0,17.3653206393611,0,"M"
"78",78,"M4",31,0,21.2727166353779,0,"M"
"79",79,"M4",32,0,21.6663543309529,0,"M"
"80",80,"M4",34,0,1.37783688276638,0,"M"
"81",81,"M4P",21,0,9.20361635055206,0,"M"
"82",82,"M4P",22,0,3.12109063535784,0,"M"
"83",83,"M4P",23,0,0.935951305553321,0,"M"
"84",84,"M4P",24,0,10.1501820577781,0,"M"
"85",85,"M4P",27,1,46.8377217022671,0.0213503126039454,"M"
"86",86,"M4P",28,0,44.4967745037954,0,"M"
"87",87,"M4P",29,0,26.4020117723039,0,"M"
"88",88,"M5",27,1,15.4441951877837,0.0647492464217879,"M"
"89",89,"M5",28,0,18.3659635646712,0,"M"
"90",90,"M5",29,0,31.3400002785879,0,"M"
"91",91,"M5",30,1,40.1687085148243,0.0248950000379263,"M"
"92",92,"M5",31,0,57.8237156449889,0,"M"
"93",93,"M5",32,1,48.3960360351419,0.0206628493142262,"M"
"94",94,"M5",33,0,34.7429483093276,0,"M"
