"","spp","year","quad","Group","ID","logarea.t0","logarea.t1","W","uniqID"
"1","POSE",1929,"Q19","P7E1",27,1.86889590051793,1.80571487732733,0.0572891684711744,"Q19_27"
"2","POSE",1929,"Q7","P1E1",76,1.53481214877338,1.19721535274684,0,"Q7_76"
"3","POSE",1929,"Q19","P7E1",32,0.414322469680054,0.779611879111151,0.0600469603183011,"Q19_32"
"4","POSE",1929,"Q19","P7E1",28,0.690886549944376,1.64762272398257,0.00408849136824062,"Q19_28"
"5","POSE",1929,"Q7","P1E1",31,2.30276986065962,1.99822450935827,7.99015001700098e-10,"Q7_31"
"6","POSE",1929,"Q7","P1E1",77,1.64448256222821,1.74232157173182,0,"Q7_77"
"7","POSE",1929,"Q19","P7E1",23,1.61946287969448,1.23293190457248,0.0635059563723982,"Q19_23"
"8","POSE",1929,"Q19","P7E1",13,1.21660647568811,1.78192309129906,0.011678154316359,"Q19_13"
"9","POSE",1929,"Q8","P1E1",11,3.08466033087377,3.61725637783714,0,"Q8_11"
"10","POSE",1929,"Q7","P1E1",8,0.911446033484238,1.21413543278382,6.54056717142026e-11,"Q7_8"
"11","POSE",1929,"Q19","P7E1",29,0.120047479532761,-0.072088806343049,0.00701891580139162,"Q19_29"
"12","POSE",1929,"Q8","P1E1",53,1.75832048702771,1.81456773942246,0.0172455374417063,"Q8_53"
"13","POSE",1929,"Q8","P1E1",59,1.61360966069918,-0.106201477423102,0,"Q8_59"
"14","POSE",1929,"Q8","P1E1",13,3.063846692184,2.37594586762054,0,"Q8_13"
"15","POSE",1929,"Q8","P1E1",35,3.54269881577188,3.07251055296038,0.00673847238979167,"Q8_35"
"16","POSE",1929,"Q7","P1E1",14,2.82682633477132,2.12086929609283,0.00290678404978615,"Q7_14"
"17","POSE",1929,"Q20","P7E1",53,0.644054621763814,1.39252059578342,0,"Q20_53"
"18","POSE",1929,"Q20","P7E1",54,2.31457874165712,1.61971134093007,0.0186062171979312,"Q20_54"
"19","POSE",1929,"Q20","P7E1",57,0.465617805018541,1.19376845051068,0.120131600869813,"Q20_57"
"20","POSE",1929,"Q7","P1E1",74,0.979519445167702,1.66436604459343,0.00544029575363546,"Q7_74"
"21","POSE",1929,"Q7","P1E1",75,1.96774841304229,1.28010290549238,8.04208186293565e-10,"Q7_75"
"22","POSE",1930,"Q10","P1E1",123,0.490509977928012,-1.08930834936985,0.00560199343940545,"Q10_123"
"23","POSE",1930,"Q20","P7E1",54,1.61971134093007,1.49920705449016,0.0737300188241626,"Q20_54"
"24","POSE",1930,"Q13","P1",35,0.978082660879638,0.920033181781128,4.81700901389104e-10,"Q13_35"
"25","POSE",1930,"Q7","P1E1",75,1.28010290549238,-0.00357753557286299,0.0688209909186866,"Q7_75"
"26","POSE",1930,"Q8","P1E1",11,3.61725637783714,2.01791931767023,0.000943575897483792,"Q8_11"
"27","POSE",1930,"Q13","P1",196,0.719094649953169,0.808773110089288,0,"Q13_196"
"28","POSE",1930,"Q10","P1E1",12,1.00011652016916,1.3455963890654,0.373113531765624,"Q10_12"
"29","POSE",1930,"Q14","P1",85,0.519991256867063,0.198304021458709,0,"Q14_85"
"30","POSE",1930,"Q14","P1",95,0.525636373391329,-0.346070194347663,0,"Q14_95"
"31","POSE",1930,"Q20","P7E1",57,1.19376845051068,0.484327725688617,0.129950868593853,"Q20_57"
"32","POSE",1930,"Q7","P1E1",31,1.99822450935827,2.64412881077747,3.48210421421413e-10,"Q7_31"
"33","POSE",1930,"Q8","P1E1",53,1.81456773942246,1.47414615866793,5.97386140555045e-09,"Q8_53"
"34","POSE",1930,"Q19","P7E1",28,1.64762272398257,1.81536638892629,0.00788728228921807,"Q19_28"
"35","POSE",1930,"Q7","P1E1",22,1.50361453528708,-0.378879465719767,0,"Q7_22"
"36","POSE",1930,"Q11","P1",26,0.606192672638178,2.27821784104367,0.559709462096577,"Q11_26"
