"","quad","year","NRquad","totParea","recArea"
"1","q1",69,1,114.7555,0.00871417927681026
"2","q1",70,0,88.8619,0
"3","q10",55,0,2.447021,0
"4","q10",56,1,21.41671,0.0466925125287684
"5","q10",57,0,80.86874,0
"6","q10",58,1,126.2436,0.00792119362882554
"7","q10",59,1,246.5706,0.00405563355890767
"8","q10",60,0,329.086174,0
"9","q10",61,1,482.62427,0.0020720052060374
"10","q10",62,1,220.09293,0.00454353531483269
"11","q10",63,0,114.605669,0
"12","q10",65,0,692.368427,0
"13","q10",66,0,293.12859,0
"14","q10",67,8,39.4749,0.202660424725585
"15","q10",68,0,1531.58196,0
"16","q10",69,0,284.45142,0
"17","q10",70,0,381.55313,0
"18","q10",71,0,413.4373,0
"19","q11",60,1,57.74926,0.0173162392037578
"20","q11",61,0,31.4307746,0
"21","q11",62,2,39.9725,0.0500343986490712
"22","q11",63,0,225.769655,0
"23","q11",64,0,590.972,0
"24","q11",65,0,704.1645,0
"25","q11",66,0,981.0164,0
"26","q11",67,4,203.19256,0.0196857601479109
"27","q11",68,1,811.918772,0.00123165030109687
"28","q11",69,1,1213.906,0.000823787014810043
"29","q11",70,0,1539.31739,0
"30","q11",71,2,1180.6743,0.00169394726386439
"31","q13",45,0,106.157,0
"32","q13",47,2,291.63768,0.00685782440732624
"33","q13",48,0,179.278451,0
"34","q13",49,1,122.603465,0.00815637633079946
"35","q13",50,4,220.278665,0.0181588171509937
"36","q13",51,1,641.363003,0.0015591794277538
"37","q13",52,2,563.95222,0.00354639972868624
"38","q13",53,0,474.144339,0
"39","q13",54,0,275.208914,0
"40","q13",55,0,463.288169,0
"41","q13",56,2,108.76848,0.0183876799602238
"42","q13",57,0,89.88778,0
"43","q13",58,7,737.32737,0.00949374766869159
"44","q13",59,2,1050.1343684,0.00190451818375131
"45","q13",60,2,1824.620732,0.00109611820414194
"46","q13",61,1,2122.824801,0.000471070433852539
"47","q13",62,2,2658.8912,0.000752193245063957
"48","q13",63,2,1963.930024,0.00101836622260427
"49","q13",64,1,2035.23036,0.000491344871643916
"50","q13",65,0,4975.09744,0
"51","q13",66,0,5485.892012,0
"52","q13",67,0,2330.74665,0
"53","q13",71,3,1430.25119,0.00209753365071488
"54","q15",35,0,38.23715,0
"55","q15",65,0,71.2234,0
"56","q15",66,0,1.3438073,0
"57","q15",68,0,134.08205,0
"58","q15",69,1,76.35998,0.0130958651377331
"59","q15",70,0,205.51882,0
"60","q15",71,0,265.9222,0
"61","q16",34,0,128.0696,0
"62","q16",35,0,225.394638,0
"63","q16",36,0,189.7415,0
"64","q16",38,0,131.81525,0
"65","q16",39,0,63.28878,0
"66","q16",51,0,13.394252,0
"67","q16",54,0,44.006,0
"68","q16",55,0,34.50817,0
"69","q16",63,1,45.62127,0.0219196002215633
"70","q16",64,1,378.35514,0.00264301946578551
