"","X","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group"
"1",1,"A1",32,301,0.249999999999991,0,1,24.6632158359638,0,"A"
"2",2,"A1",32,180,2.58610092214077,0,1,-0.0537316775893117,1,"A"
"3",3,"A1",32,265,0.249999999999996,0,1,22.7828927017347,0,"A"
"4",4,"A1",32,298,0.249999999999993,1,1,7.06032790896755,0,"A"
"5",5,"A1",32,318,0.249999999999986,0,1,16.1460550031296,0,"A"
"6",6,"A1",32,322,0.249999999999986,0,1,15.1867231182142,0,"A"
"7",7,"A1",32,229,0.250000000000001,0,1,11.9616435088919,0,"A"
"8",8,"A1",32,226,0.25,0,1,25.5441152196877,0,"A"
"9",9,"A1",32,302,0.249999999999993,1,1,26.5992433002814,0,"A"
"10",10,"A1",32,266,0.249999999999996,0,1,20.2032833227516,0,"A"
"11",11,"A1",32,216,0.25,1,1,21.0941276995357,0,"A"
"12",12,"A1",32,282,0.249999999999986,1,1,37.4366949783008,0,"A"
"13",13,"A1",32,224,0.250000000000001,1,1,11.1864434908325,0,"A"
"14",14,"A1",32,190,7.19427840629025,0,1,2.64992221774999,0,"A"
"15",15,"A1",32,263,0.249999999999996,1,1,41.3110870565047,0,"A"
"16",16,"A1",32,210,0.249999999999993,1,1,14.8399450626671,0,"A"
"17",17,"A1",32,276,0.249999999999986,1,1,39.5416449482196,0,"A"
"18",18,"A1",32,269,0.249999999999993,1,1,21.856843530038,0,"A"
"19",19,"A1",32,230,0.250000000000001,1,1,10.2288432591467,0,"A"
"20",20,"A1",32,220,0.25,1,1,21.1425392423458,0,"A"
"21",21,"A1",32,328,0.25,0,1,12.5208549841056,0,"A"
"22",22,"A1",32,331,0.25,0,1,8.58903399302461,0,"A"
"23",23,"A1",32,218,0.25,0,1,22.5045917347454,0,"A"
"24",24,"A1",32,251,0.25,1,1,28.9192212655053,0,"A"
"25",25,"A1",32,238,0.249999999999993,1,1,17.4055566631392,0,"A"
"26",26,"A1",32,280,0.249999999999986,1,1,38.9278245998921,0,"A"
"27",27,"A1",32,223,0.250000000000001,0,1,12.6049113055769,0,"A"
"28",28,"A1",32,241,0.249999999999993,0,1,19.6399566105043,0,"A"
"29",29,"A1",32,244,0.25,0,1,26.907236263205,0,"A"
"30",30,"A1",32,281,0.249999999999993,1,1,5.2437222278145,0,"A"
"31",31,"A1",32,240,0.249999999999993,0,1,16.3567567695666,0,"A"
"32",32,"A1",32,268,0.249999999999996,0,1,19.0068435290734,0,"A"
"33",33,"A1",32,254,0.249999999999993,1,1,26.7195262988995,0,"A"
"34",34,"A1",32,242,0.25,1,1,0.926443487360038,1,"A"
"35",35,"A1",32,278,0.249999999999993,1,1,39.0840831677038,0,"A"
"36",36,"A1",33,242,0.250000000000003,0,2,1.87765676554118,1,"A"
"37",37,"A1",33,344,0.250000000000004,0,1,29.2943332688946,0,"A"
"38",38,"A1",33,345,0.249999999999993,1,1,5.56434328760366,0,"A"
"39",39,"A1",33,351,0.249999999999993,0,1,28.9912236553393,0,"A"
"40",40,"A1",33,341,0.250000000000002,0,1,22.1266330203542,0,"A"
"41",41,"A1",33,342,0.249999999999993,1,1,1.19044350694728,1,"A"
"42",42,"A1",33,269,0.499999999999993,0,2,19.1139697372302,0,"A"
"43",43,"A1",33,343,0.25,1,1,29.2123142166536,0,"A"
"44",44,"A1",33,352,0.249999999999993,1,1,45.9545666777025,0,"A"
"45",45,"A1",33,282,0.499999999999972,1,2,35.093274561165,0,"A"
"46",46,"A1",33,280,2.30632334585691,1,2,39.1415724559962,0,"A"
"47",47,"A1",33,364,0.249999999999993,1,1,4.61058099033703,0,"A"
"48",48,"A1",33,363,0.249999999999989,0,1,18.360066917756,0,"A"
"49",49,"A1",33,224,0.5,1,2,11.1979568129541,0,"A"
"50",50,"A1",33,251,0.750000000000012,1,2,26.3598177341187,0,"A"
"51",51,"A1",33,281,0.499999999999986,1,2,1.11270108647496,0,"A"
"52",52,"A1",33,276,1.19950107412918,0,2,38.9046081705498,0,"A"
"53",53,"A1",33,298,0.249999999999993,0,2,6.72248159919583,0,"A"
"54",54,"A1",33,346,0.25,1,1,7.13200744419295,0,"A"
"55",55,"A1",33,254,0.749999999999985,1,2,25.5560431236586,0,"A"
"56",56,"A1",33,338,0.250000000000002,1,1,20.105358118432,0,"A"
"57",57,"A1",33,210,0.25,1,2,19.9740332214817,0,"A"
"58",58,"A1",33,340,0.250000000000005,1,1,21.1188130653019,0,"A"
"59",59,"A1",33,361,0.249999999999986,1,1,22.1457825596024,0,"A"
"60",60,"A1",33,362,0.249999999999989,1,1,21.1309665831257,0,"A"
"61",61,"A1",33,263,1.93213745505543,1,2,40.6250603804219,0,"A"
"62",62,"A1",33,355,0.249999999999996,0,1,32.0179145754176,0,"A"
"63",63,"A1",33,302,0.749999999999986,1,2,22.9037665987127,0,"A"
"64",64,"A1",33,332,2.98741986030564,1,1,20.7225698646906,0,"A"
"65",65,"A1",33,238,0.749999999999989,1,2,17.2662431503586,0,"A"
"66",66,"A1",33,339,0.250000000000002,1,1,10.0650284714667,0,"A"
"67",67,"A1",33,358,0.249999999999993,1,1,24.4363032880897,0,"A"
"68",68,"A1",33,216,0.250000000000002,1,2,24.921117339989,0,"A"
"69",69,"A1",33,336,0.25,1,1,13.7910332217308,0,"A"
"70",70,"A1",33,353,0.249999999999996,0,1,5.20814195129911,0,"A"
"71",71,"A1",33,350,0.249999999999986,0,1,24.0217431912833,0,"A"
"72",72,"A1",33,335,0.25,0,1,13.4563365091547,0,"A"
"73",73,"A1",33,366,0.25,1,1,4.81478615295646,0,"A"
"74",74,"A1",33,230,1.9540808906591,1,2,8.82416892465527,0,"A"
"75",75,"A1",33,354,0.249999999999989,1,1,32.0510970907358,0,"A"
"76",76,"A1",33,365,0.25,1,1,7.71715674058781,0,"A"
"77",77,"A1",33,359,0.249999999999996,0,1,26.5918182441978,0,"A"
"78",78,"A1",33,356,0.25,1,1,29.1031684517298,0,"A"
"79",79,"A1",33,349,0.250000000000004,1,1,11.0053001578449,0,"A"
"80",80,"A1",33,333,0.249999999999993,1,1,0.690896254432388,1,"A"
"81",81,"A1",33,334,0.25,1,1,3.82908179494622,1,"A"
"82",82,"A1",33,347,0.25,0,1,13.9917563909855,0,"A"
"83",83,"A1",33,367,0.249999999999993,1,1,4.79482008443574,0,"A"
"84",84,"A1",33,348,0.250000000000004,0,1,36.2656675116126,0,"A"
"85",85,"A1",33,337,0.250000000000004,0,1,17.2260330238474,0,"A"
"86",86,"A1",33,360,0.249999999999993,0,1,22.9811699853307,0,"A"
"87",87,"A1",33,220,0.500000000000002,0,2,18.2663072393143,0,"A"
"88",88,"A1",33,278,0.25,0,2,41.7638666432659,0,"A"
