"quad","year","SP_ID","x","y","GenID"
"a1",23,"26","22.2000000008848","62.9300000146031","26"
"a1",23,"27","11.4000000001397","62.8299999982119","27"
"a1",23,"29","84.499999997206","50.5300000077114","29"
"a1",23,"30","84.2000000004191","51.7299999948591","30"
"a2",37,"2","39.5295928770552","55.8160559853897","2"
"a2",37,"4","61.1999999993714","91.2500000093132","4"
"a2",37,"5","71.1000000010245","91.8500000145286","5"
"a3",25,"0","61.8743356605309","5.58435898196636","0"
"a3",25,"1","48.2412339503053","6.59096037114981","1"
"a3",25,"2","98.2742697836953","10.5179710301286","2"
"a3",25,"3","14.9304585547914","14.0694356346541","3"
"a3",25,"4","12.8509803913282","16.2641176506862","4"
"a4",23,"15","2.9999999969732","21.9000000040978","15"
"a4",23,"16","35.999999998603","23.700000019744","16"
"a4",23,"17","26.3999999995576","5.00000002793968","17"
"a5",15,"24","81.1175405215479","59.3596291146177","24"
"ar1",45,"20","51.1739733749771","99.3638320850684","20"
"ar3",59,"0","93.4830750821964","4.13687711059412","0"
"ar3",59,"1","50.0715577864896","51.0398157642734","1"
"ar3",59,"2","12.400000001071","59.7000000067055","2"
"ar3",59,"3","71.7000000004191","11.4000000059605","3"
"ar3",59,"4","72.3999999987427","7.09999999962747","4"
"ar4",26,"10","83.6989481194819","51.6663792469587","10"
"ar5",35,"9","4.89999999990687","91.3984130835161","9"
"ar6",26,"10","51.8196324992955","71.090368194488","10"
"ar6",26,"11","85.7671257950225","73.5174575442586","11"
"b1",15,"0","71.2334254939192","3.04314246540525","0"
"b1",15,"1","8.3841413311818","3.50591112764249","1"
"b1",15,"2","23.8187913322848","4.76141074170081","2"
"b1",15,"3","20.2920033188266","2.77947370059782","3"
"b1",15,"7","48.8275560064646","7.47316236566184","7"
"b1",15,"8","64.1578017246807","8.61787891063156","8"
"b1",15,"9","73.0347247138635","9.18536233194265","9"
"b1",15,"10","45.2808922162834","10.1821637598646","10"
"b1",15,"11","30.2187656829248","14.2160606273624","11"
"b1",15,"12","35.1060146163523","16.6680227449405","12"
"b1",15,"13","87.8923890416923","20.2879669708656","13"
"b1",15,"15","30.7479766403137","20.139790305479","15"
"b1",15,"17","31.1193531479696","33.7261785427758","17"
"b1",15,"18","32.3026098136538","38.8263267201867","18"
"b1",15,"19","87.454119834263","38.9724100572406","19"
"b1",15,"20","94.9087722218524","39.9813189636198","20"
"b1",15,"22","94.4993903230341","45.170009294074","22"
"b1",15,"23","59.9685519603373","51.6824258954529","23"
"b1",15,"24","85.0415005795769","48.8656065899072","24"
"b1",15,"26","64.074946792166","59.1156530412861","26"
"b1",15,"28","37.782310645761","60.5334338733863","28"
"b1",15,"29","97.4703841278036","61.0854359844979","29"
